No.,Title,Year,Decision,Notes
11,Artificial Intelligence Vs. Instructor Supported Ai: Teaching Second Language Writing Via Write&improve,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The study investigates second language writing, English writing success, and English writing self-efficacy. Although the abstract does not explicitly label participants as EFL/ESL/ELL, the focus is clearly on learners of English as an L2 in an instructional context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The intervention uses the Write&Improve system. Write&Improve is an automated writing evaluation tool based on Cambridge technology, not described here as a large language model (e.g., ChatGPT, GPT-4). The abstract frames it as an AI feedback system, but there is no indication it is an LLM-based, transformer generative model integrated into instruction, which is required by the review criteria.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The primary focus is on second language writing: outcomes include English writing success and related variables (self-efficacy, achievement emotions, teacher-student interaction). The intervention is clearly situated in L2 writing instruction.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The study uses an 8-week pretest-posttest control group design and reports a statistically significant increase in English writing success in the experimental group, indicating quantifiable writing outcome metrics are collected and analyzed.""
    }
}"
12,Developing L2 Postgraduate Students' Strategic and Responsible Use of Genai through a Purposefully Designed Workshop in Academic Writing,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The participants are explicitly described as L2 postgraduate students facing challenges in academic writing, indicating second language English learners in an academic writing context.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The workshop uses “diverse GenAI tools” and focuses on “strategic and responsible GenAI use,” but the abstract does not specify that these are large language models (e.g., ChatGPT, GPT-4) as opposed to other generative or AI tools. The exact nature of the GenAI tools is not detailed.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The context is clearly academic writing: the workshop targets stages of the writing process (brainstorming, literature searching, revising, ethical considerations) and aims to support L2 students’ academic writing practices.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""Outcomes reported are technology proficiency, critical evaluation skills, ethical competence, and AI agency, measured via pre- and post-workshop questionnaires. No quantifiable writing performance or writing quality metrics are mentioned; the focus is on attitudes/skills related to AI use rather than writing outcomes.""
    }
}"
13,Linguistic Analyses of Written Corrective Feedback for Chinese as a Second Language: Chatgpt Versus Human Teachers,2025,exclude,"{
    ""c1"": {
        ""status"": ""fail"",
        ""evidence"": ""Participants are learners of Chinese as a second language (CSL), specifically a Vietnamese CSL writing sample corpus. The focus is not on L2 English learners in ESL/EFL/ELL contexts, and the target language is Chinese, not English.""
    },
    ""c2"": {
        ""status"": ""pass"",
        ""evidence"": ""The study analyzes written corrective feedback generated by ChatGPT (an LLM) versus human teachers. Although primarily comparative, it does integrate an LLM into a feedback context relevant to writing instruction.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The context is second language writing, focusing on written corrective feedback on CSL learners’ writing, with an analytic framework for language accuracy and content expressivity—both writing-related variables.""
    },
    ""c4"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract reports linguistic analyses of feedback quality (e.g., word order changes, vocabulary difficulty) but does not indicate any measured learning or writing outcome for students (e.g., post-test writing scores). It appears to evaluate feedback characteristics rather than intervention effectiveness.""
    }
}"
14,A Translanguaging Perspective on Students' Use of Generative Artificial Intelligence in L2 Writing,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are described as 'Chinese multilingual undergraduates' engaged in 'L2 writing', which in this context strongly implies English as the target language in an EFL/ESL-type setting.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study investigates students' naturalistic use of 'generative artificial intelligence (GAI)' in L2 writing, using screen recordings, journals, and interviews. It does not describe an experimental or quasi-experimental pedagogical intervention integrating a specific LLM into instruction; rather, it is an observational, qualitative study of existing practices.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The focus is explicitly on 'GAI-assisted L2 writing' and how students use GAI for creation, translation, evaluation, and revision in their writing processes, aligning with a writing competence/writing-process context.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study uses thematic analysis of qualitative data (screen recordings, reflective journals, interviews) and reports patterns and stances. There is no mention of quantitative writing outcome measures or experimental comparison to assess effectiveness of GAI-mediated writing interventions.""
    }
}"
15,Saudi Efl Learners' Perceptions of Using Artificial Intelligence and Its Impact on Their Writing Skills,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are female Saudi learners of English as a Foreign Language at the University of Jeddah, clearly an EFL context with English as the target language.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract refers to “Artificial Intelligence tools” and explicitly mentions ChatGPT, but does not specify whether all tools are LLM-based or how they are integrated as an instructional intervention beyond general use. However, the main focus is on perceptions rather than a structured experimental or quasi-experimental intervention design.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on learners’ perceptions, attitudes, perceived benefits, and drawbacks of AI tools for writing. There is no description of a designed pedagogical writing intervention being evaluated; instead, it is an attitudinal/perception study about AI use in writing.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""Although one research question asks about the impact of AI on writing competency, the abstract reports only qualitative perceptions (e.g., students valued AI, appreciated prompt responses, help with grammar and vocabulary) and does not indicate any quantifiable writing outcome measures or experimental comparison of writing performance.""
    }
}"
16,Enhancing Efl Writing through Ai-driven Video-to-text Recognition in Authentic Learning Contexts,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are described as EFL learners: “22 first-year university students” in an EFL context, and the focus is on English writing skills (“writing skills of English as a Foreign Language (EFL) learners”).""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The intervention is an “AI-driven video-to-text recognition” (VTR) system that combines AI and cloud-based technologies. There is no indication that it is a large language model or transformer-based generative model (e.g., ChatGPT, GPT-4). It appears to be a recognition/transcription tool rather than an LLM-based writing assistant.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The primary focus is on writing competence: the system is designed “to help learners build vocabulary and write sentences,” and the study evaluates “the impact of the VTR system on writing proficiency,” clearly centering on writing-related outcomes.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract reports that “The results showed improvement in writing skills,” implying quantitative assessment of writing proficiency after a two-week experimental study. Thus, quantifiable writing outcome metrics are likely used, even though specific measures are not detailed in the abstract.""
    }
}"
17,Harnessing Generative Ai for English Curriculum Innovation in Higher Education: a Case Study at Al-zaytoonah University of Jordan,2025,unsure,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The context is English as a Foreign Language (EFL) at a Jordanian university, so participants are L2 English learners in an EFL setting, with focus on English language instruction.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study integrates GenAI/LLMs (ChatGPT) as a supplementary tool in English language classrooms and discusses curriculum design. However, the abstract does not clearly state that there is an experimental or quasi-experimental design specifically targeting writing instruction or writing processes; it may be broader language curriculum use.""
    },
    ""c3"": {
        ""status"": ""unclear"",
        ""evidence"": ""Writing fluency is mentioned as one of several outcomes (along with linguistic autonomy and critical thinking), but the primary focus appears to be overall curriculum innovation and EFL instruction, not necessarily a writing-focused intervention. It is unclear if writing competence is the central focus.""
    },
    ""c4"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract notes that a mixed-method approach with qualitative and quantitative data was used and claims improvements in writing fluency, but it does not specify any quantifiable writing outcome metrics or structured writing assessments. It is unclear whether concrete writing measures were collected and analyzed, or if writing fluency is inferred from perceptions.""
    }
}"
18,Exploring the Use of Generative Ai on Students’ Academic Writing: an Exploratory Study,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are explicitly described as English as a foreign language (EFL) learners, and the context is academic writing in English.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study uses ‘generative AI (GenAI)’ to support students’ academic writing, but the abstract does not specify whether the tool is an LLM (e.g., ChatGPT/GPT-based) or another type of generative system. However, even if it were an LLM, the design appears exploratory rather than experimental/quasi-experimental in terms of instructional intervention.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The focus is on students’ use of GenAI during an academic writing task, including question categories and adoption of GenAI responses, which is directly related to writing processes and competence.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study examines questioning behaviors, adoption of GenAI responses, and perceptions of usefulness and ease of use. There is no indication of quantifiable writing outcome measures (e.g., writing quality scores, accuracy, complexity) to assess the effectiveness of the GenAI-mediated intervention.""
    }
}"
19,Understanding How Ai Chatbots Influence Efl Learners’ Oral English Learning Motivation and Outcomes: Evidence from Chinese Learners,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are 351 EFL students in China learning spoken English with an AI chatbot, clearly fitting an EFL/ELL L2 English population.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract refers to “artificial intelligence chatbots” but does not specify that they are large language model–based (e.g., ChatGPT, GPT-4). The type of AI chatbot (rule-based vs. LLM) is not identified, so it is unclear whether an LLM is involved.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is on spoken/oral English learning, motivation, social presence, and self-efficacy. There is no indication that writing competence or writing-related variables are targeted; the context is oral language learning, not writing.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""Outcomes concern learning motivation and learning outcomes in spoken English, analyzed via SEM and moderation analysis. No quantifiable writing outcomes or writing performance measures are reported.""
    }
}"
20,Unveiling the Writing Self-efficacy and Its Relationship with Writing Engagement Based on Generative Ai Feedback,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract does not specify that participants are L2 English learners (ESL/EFL/ELL) or that the target language is English. It only refers to “students” and their writing self-efficacy, with no language context provided.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study uses “generative AI feedback,” but the abstract does not indicate whether this is specifically an LLM (e.g., ChatGPT/GPT-4) or another type of generative system. The nature of the AI tool is not described in sufficient detail to confirm it is an LLM-based intervention.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on writing self-efficacy and writing engagement, not on writing competence or performance. The abstract does not mention assessment of writing quality, accuracy, or other competence-related writing outcomes, but rather psychological and behavioral variables around writing.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The outcomes reported concern changes in writing self-efficacy dimensions and their correlation with writing engagement. There is no indication of quantifiable writing performance metrics (e.g., scores, quality ratings) used to evaluate the effectiveness of the AI-mediated writing intervention.""
    }
}"
21,Investigating Efl Students' Attitudes towards Ai-powered Tools in English Language Learning,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are 479 Vietnamese university students learning English as a Foreign Language (EFL), clearly an L2 English learner population.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study investigates attitudes and perceptions toward various AI-powered tools (e.g., ChatGPT, Grammarly, Duolingo Max, Gemini) via surveys and interviews. There is no indication of an experimental or quasi-experimental design implementing an LLM-based intervention in writing instruction or processes.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is broad English language learning (grammar, vocabulary, pronunciation, writing skills, motivation, autonomy), not a targeted writing competence intervention. It is an attitudinal/perception study rather than a writing-focused pedagogical intervention.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The abstract reports self-reported improvements and attitudes but does not mention any quantifiable writing outcome measures or experimental assessment of writing performance. Outcomes are qualitative/attitudinal, not measured writing gains.""
    }
}"
22,Developing an Ai-driven Contextualized Short Video Learning System for Efl Speaking and Writing,2025,include,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are described as EFL learners (45 seventh graders), indicating second language English learners in an EFL context. The focus is on English speaking and writing proficiency.""
    },
    ""c2"": {
        ""status"": ""pass"",
        ""evidence"": ""The intervention is ClipTalk, an AI-driven system using GPT-enabled chatbots and intelligent contextual chatbots to provide feedback. The study is an eight-week experimental study integrating LLM-based tools into language learning tasks.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The system is explicitly designed to enhance EFL learners' speaking and writing proficiency, with real-world video production tasks and AI-driven feedback. Writing competence is a primary outcome, not just automated scoring or system evaluation.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract reports that the study assessed the system's impact on writing and speaking proficiency and found significant improvements in EFL writing and speaking skills, implying quantifiable outcome measures in an experimental design.""
    }
}"
23,What Motivates Second Language Majors to Use Generative Ai for Informal Learning? Insights from the Theory of Planned Behavior,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""Participants are described as “L2 majors at various Chinese universities,” but the target L2 is not specified. It may or may not be English; this cannot be determined from the abstract alone.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study investigates intention to use generative AI via a questionnaire and structural equation modeling. There is no experimental or quasi-experimental design integrating a specific LLM into instruction or writing processes; it is an attitudinal/behavioral intention study.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is on informal L2 learning intentions and psychological predictors (attitude, subjective norm, perceived behavioral control, GenAI literacy), not on writing competence or writing-related variables. Writing is not mentioned in the abstract.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""No writing outcomes or performance metrics are reported. The study uses questionnaire scales and SEM to model behavioral intention, without any measured changes in writing ability or writing-related performance.""
    }
}"
24,Enhancing Chinese Character Writing Learning: the Role of Mllm-based Intelligent Tutoring Systems,2025,exclude,"{
    ""c1"": {
        ""status"": ""fail"",
        ""evidence"": ""Participants are learners of Chinese as a foreign language, focusing on Chinese character learning. The target language is Chinese, not English, so the population is outside the scope of L2 English (ESL/EFL/ELL) learners required for this review.""
    },
    ""c2"": {
        ""status"": ""pass"",
        ""evidence"": ""The study uses an Intelligent Tutoring System grounded in a Multimodal Large Language Model with a feedback mechanism and conducts a teaching experiment to validate its effectiveness, which fits an LLM-based instructional intervention.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The primary focus is on writing Chinese characters and the role of corrective feedback in character writing, which is a writing-related competence in the target language.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract reports that students using the ITS perform better in writing Chinese characters than with traditional teaching, indicating quantifiable writing performance outcomes from the intervention.""
    }
}"
25,Future Changes in Teachers' Professional Roles under the Impact of Artificial Intelligence: a Study in English as a Foreign Language Education,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract explicitly states the context is English as a foreign language (EFL) education and refers to students learning English as a foreign language, which fits the target L2 English learner population.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study involves ‘Generative artificial intelligence (GenAI)’ and ‘student-GenAI interactions’ and ‘teacher-student-GenAI collaboration’. However, the abstract does not specify that the GenAI is a large language model (e.g., ChatGPT, GPT-4) or detail its use in writing instruction or writing processes.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on human agency in AI in education and its impact on intrinsic motivation, classroom anxiety, and willingness to communicate in EFL classes. There is no indication that the intervention specifically targets writing competence or writing-related variables; it appears to concern general EFL learning and affective/communicative outcomes.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The measured outcomes are intrinsic motivation, classroom anxiety, and willingness to communicate. No quantifiable writing outcome metrics (e.g., writing quality, accuracy, complexity, fluency) are mentioned, and writing is not identified as a target skill.""
    }
}"
26,Optimizing English Learning with Ai: Machine Learning Techniques and Tools,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract mentions the ELLIPSE corpus of essays by grade 8–12 learners, but does not clearly state whether these are L2 English learners (ESL/EFL/ELL) or native speakers. The learner population and context are not specified as L2.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study uses a TF-IDF-based GRU model for automated text classification (scoring coherence, syntax, vocabulary, etc.). This is a neural text classifier, not a large language model (LLM) such as ChatGPT/GPT-4, nor is it integrated as an instructional or writing-process intervention. It is essentially an automated scoring/assessment system.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on building an AI model to classify writing quality dimensions (coherence, syntax, etc.) with high accuracy. There is no described pedagogical intervention in writing instruction; rather, it is an assessment framework. It aligns with automated essay scoring functionality, which is outside the review scope.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The outcomes reported are model performance metrics (accuracy, precision, recall, F1-score) for text classification, not quantifiable changes in learners’ writing performance resulting from an LLM-mediated intervention. No experimental or quasi-experimental design assessing writing improvement is described.""
    }
}"
