2025-12-02 16:10:14 | DEBUG | llm_batch_analyzer:96 | 日志系统初始化完成 | name=llm_batch_analyzer | 控制台级别=DEBUG | 文件路径=logs\llm_batch_analyzer.log
2025-12-02 16:10:14 | DEBUG | llm_batch_analyzer:121 | [流水线初始化] OpenAIClient 初始化成功
2025-12-02 16:15:22 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1507，累计 tokens=73294，本次费用=$0.007535，累计费用=$0.366470
2025-12-02 16:15:27 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1524，累计 tokens=74818，本次费用=$0.007620，累计费用=$0.374090
2025-12-02 16:15:33 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1426，累计 tokens=76244，本次费用=$0.007130，累计费用=$0.381220
2025-12-02 16:15:40 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1429，累计 tokens=77673，本次费用=$0.007145，累计费用=$0.388365
2025-12-02 16:15:44 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1458，累计 tokens=79131，本次费用=$0.007290，累计费用=$0.395655
2025-12-02 16:15:52 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1512，累计 tokens=80643，本次费用=$0.007560，累计费用=$0.403215
2025-12-02 16:15:59 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1611，累计 tokens=82254，本次费用=$0.008055，累计费用=$0.411270
2025-12-02 16:16:09 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1500，累计 tokens=83754，本次费用=$0.007500，累计费用=$0.418770
2025-12-02 16:16:13 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1520，累计 tokens=85274，本次费用=$0.007600，累计费用=$0.426370
2025-12-02 16:16:24 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1508，累计 tokens=86782，本次费用=$0.007540，累计费用=$0.433910
2025-12-02 16:16:28 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1521，累计 tokens=88303，本次费用=$0.007605，累计费用=$0.441515
2025-12-02 16:16:33 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1664，累计 tokens=89967，本次费用=$0.008320，累计费用=$0.449835
2025-12-02 16:16:33 | INFO  | llm_batch_analyzer:185 | [LLM 调用] 批量分析完成，返回 20 条。
2025-12-02 16:16:33 | INFO  | llm_batch_analyzer:170 | [分批保存] 第 3 批结果已保存为：F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results\R2_analysis_batch_003.csv
2025-12-02 16:16:33 | INFO  | llm_batch_analyzer:225 | ========== [批次启动] 批次 004: 60~79 ==========
2025-12-02 16:16:38 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1589，累计 tokens=91556，本次费用=$0.007945，累计费用=$0.457780
2025-12-02 16:16:44 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1561，累计 tokens=93117，本次费用=$0.007805，累计费用=$0.465585
2025-12-02 16:16:49 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1697，累计 tokens=94814，本次费用=$0.008485，累计费用=$0.474070
2025-12-02 16:16:54 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1682，累计 tokens=96496，本次费用=$0.008410，累计费用=$0.482480
2025-12-02 16:17:05 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1639，累计 tokens=98135，本次费用=$0.008195，累计费用=$0.490675
2025-12-02 16:17:10 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1490，累计 tokens=99625，本次费用=$0.007450，累计费用=$0.498125
2025-12-02 16:17:17 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1477，累计 tokens=101102，本次费用=$0.007385，累计费用=$0.505510
2025-12-02 16:17:22 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1474，累计 tokens=102576，本次费用=$0.007370，累计费用=$0.512880
2025-12-02 16:17:30 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1581，累计 tokens=104157，本次费用=$0.007905，累计费用=$0.520785
2025-12-02 16:17:35 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1553，累计 tokens=105710，本次费用=$0.007765，累计费用=$0.528550
2025-12-02 16:17:41 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1578，累计 tokens=107288，本次费用=$0.007890，累计费用=$0.536440
2025-12-02 16:17:48 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1599，累计 tokens=108887，本次费用=$0.007995，累计费用=$0.544435
2025-12-02 16:17:56 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1539，累计 tokens=110426，本次费用=$0.007695，累计费用=$0.552130
2025-12-02 16:18:07 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1582，累计 tokens=112008，本次费用=$0.007910，累计费用=$0.560040
2025-12-02 16:18:17 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1546，累计 tokens=113554，本次费用=$0.007730，累计费用=$0.567770
2025-12-02 16:18:22 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1521，累计 tokens=115075，本次费用=$0.007605，累计费用=$0.575375
2025-12-02 16:18:27 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1513，累计 tokens=116588，本次费用=$0.007565，累计费用=$0.582940
2025-12-02 16:18:33 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1443，累计 tokens=118031，本次费用=$0.007215，累计费用=$0.590155
2025-12-02 16:18:39 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1551，累计 tokens=119582，本次费用=$0.007755，累计费用=$0.597910
2025-12-02 16:18:45 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1539，累计 tokens=121121，本次费用=$0.007695，累计费用=$0.605605
2025-12-02 16:18:45 | INFO  | llm_batch_analyzer:185 | [LLM 调用] 批量分析完成，返回 20 条。
2025-12-02 16:18:45 | INFO  | llm_batch_analyzer:170 | [分批保存] 第 4 批结果已保存为：F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results\R2_analysis_batch_004.csv
2025-12-02 16:18:45 | INFO  | llm_batch_analyzer:225 | ========== [批次启动] 批次 005: 80~99 ==========
2025-12-02 16:18:52 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1481，累计 tokens=122602，本次费用=$0.007405，累计费用=$0.613010
2025-12-02 16:18:59 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1448，累计 tokens=124050，本次费用=$0.007240，累计费用=$0.620250
2025-12-02 16:19:05 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1443，累计 tokens=125493，本次费用=$0.007215，累计费用=$0.627465
2025-12-02 16:19:10 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1724，累计 tokens=127217，本次费用=$0.008620，累计费用=$0.636085
2025-12-02 16:19:16 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1357，累计 tokens=128574，本次费用=$0.006785，累计费用=$0.642870
2025-12-02 16:19:20 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1545，累计 tokens=130119，本次费用=$0.007725，累计费用=$0.650595
2025-12-02 16:19:25 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1501，累计 tokens=131620，本次费用=$0.007505，累计费用=$0.658100
2025-12-02 16:19:32 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1483，累计 tokens=133103，本次费用=$0.007415，累计费用=$0.665515
2025-12-02 16:19:37 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1540，累计 tokens=134643，本次费用=$0.007700，累计费用=$0.673215
2025-12-02 16:19:42 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1395，累计 tokens=136038，本次费用=$0.006975，累计费用=$0.680190
2025-12-02 16:19:47 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1497，累计 tokens=137535，本次费用=$0.007485，累计费用=$0.687675
2025-12-02 16:19:55 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1584，累计 tokens=139119，本次费用=$0.007920，累计费用=$0.695595
2025-12-02 16:20:01 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1457，累计 tokens=140576，本次费用=$0.007285，累计费用=$0.702880
2025-12-02 16:20:08 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1444，累计 tokens=142020，本次费用=$0.007220，累计费用=$0.710100
2025-12-02 16:20:20 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1562，累计 tokens=143582，本次费用=$0.007810，累计费用=$0.717910
2025-12-02 16:20:25 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1470，累计 tokens=145052，本次费用=$0.007350，累计费用=$0.725260
2025-12-02 16:20:31 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1455，累计 tokens=146507，本次费用=$0.007275，累计费用=$0.732535
2025-12-02 16:20:37 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1478，累计 tokens=147985，本次费用=$0.007390，累计费用=$0.739925
2025-12-02 16:20:43 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1384，累计 tokens=149369，本次费用=$0.006920，累计费用=$0.746845
2025-12-02 16:20:48 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1488，累计 tokens=150857，本次费用=$0.007440，累计费用=$0.754285
2025-12-02 16:20:48 | INFO  | llm_batch_analyzer:185 | [LLM 调用] 批量分析完成，返回 20 条。
2025-12-02 16:20:48 | INFO  | llm_batch_analyzer:170 | [分批保存] 第 5 批结果已保存为：F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results\R2_analysis_batch_005.csv
2025-12-02 16:20:48 | INFO  | llm_batch_analyzer:225 | ========== [批次启动] 批次 006: 100~119 ==========
2025-12-02 16:20:52 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1483，累计 tokens=152340，本次费用=$0.007415，累计费用=$0.761700
2025-12-02 16:20:57 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1427，累计 tokens=153767，本次费用=$0.007135，累计费用=$0.768835
2025-12-02 16:21:02 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1487，累计 tokens=155254，本次费用=$0.007435，累计费用=$0.776270
2025-12-02 16:21:08 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1659，累计 tokens=156913，本次费用=$0.008295，累计费用=$0.784565
2025-12-02 16:21:12 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1330，累计 tokens=158243，本次费用=$0.006650，累计费用=$0.791215
2025-12-02 16:21:17 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1508，累计 tokens=159751，本次费用=$0.007540，累计费用=$0.798755
2025-12-02 16:21:23 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1533，累计 tokens=161284，本次费用=$0.007665，累计费用=$0.806420
2025-12-02 16:21:27 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1473，累计 tokens=162757，本次费用=$0.007365，累计费用=$0.813785
2025-12-02 16:21:33 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1631，累计 tokens=164388，本次费用=$0.008155，累计费用=$0.821940
2025-12-02 16:21:38 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1439，累计 tokens=165827，本次费用=$0.007195，累计费用=$0.829135
2025-12-02 16:21:43 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1458，累计 tokens=167285，本次费用=$0.007290，累计费用=$0.836425
2025-12-02 16:21:49 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1431，累计 tokens=168716，本次费用=$0.007155，累计费用=$0.843580
2025-12-02 16:21:54 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1468，累计 tokens=170184，本次费用=$0.007340，累计费用=$0.850920
2025-12-02 16:21:59 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1391，累计 tokens=171575，本次费用=$0.006955，累计费用=$0.857875
2025-12-02 16:22:10 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1470，累计 tokens=173045，本次费用=$0.007350，累计费用=$0.865225
2025-12-02 16:22:14 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1530，累计 tokens=174575，本次费用=$0.007650，累计费用=$0.872875
2025-12-02 16:22:19 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1444，累计 tokens=176019，本次费用=$0.007220，累计费用=$0.880095
2025-12-02 16:22:23 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1445，累计 tokens=177464，本次费用=$0.007225，累计费用=$0.887320
2025-12-02 16:22:28 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1462，累计 tokens=178926，本次费用=$0.007310，累计费用=$0.894630
2025-12-02 16:22:36 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1494，累计 tokens=180420，本次费用=$0.007470，累计费用=$0.902100
2025-12-02 16:22:36 | INFO  | llm_batch_analyzer:185 | [LLM 调用] 批量分析完成，返回 20 条。
2025-12-02 16:22:36 | INFO  | llm_batch_analyzer:170 | [分批保存] 第 6 批结果已保存为：F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results\R2_analysis_batch_006.csv
2025-12-02 16:22:36 | INFO  | llm_batch_analyzer:225 | ========== [批次启动] 批次 007: 120~139 ==========
2025-12-02 16:22:40 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1594，累计 tokens=182014，本次费用=$0.007970，累计费用=$0.910070
2025-12-02 16:22:45 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1443，累计 tokens=183457，本次费用=$0.007215，累计费用=$0.917285
2025-12-02 16:22:51 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1529，累计 tokens=184986，本次费用=$0.007645，累计费用=$0.924930
2025-12-02 16:23:06 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1422，累计 tokens=186408，本次费用=$0.007110，累计费用=$0.932040
2025-12-02 16:23:12 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1600，累计 tokens=188008，本次费用=$0.008000，累计费用=$0.940040
2025-12-02 16:23:26 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1507，累计 tokens=189515，本次费用=$0.007535，累计费用=$0.947575
2025-12-02 16:23:31 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1438，累计 tokens=190953，本次费用=$0.007190，累计费用=$0.954765
2025-12-02 16:23:36 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1486，累计 tokens=192439，本次费用=$0.007430，累计费用=$0.962195
2025-12-02 16:23:41 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1520，累计 tokens=193959，本次费用=$0.007600，累计费用=$0.969795
2025-12-02 16:23:47 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1594，累计 tokens=195553，本次费用=$0.007970，累计费用=$0.977765
2025-12-02 16:23:52 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1530，累计 tokens=197083，本次费用=$0.007650，累计费用=$0.985415
2025-12-02 16:24:00 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1597，累计 tokens=198680，本次费用=$0.007985，累计费用=$0.993400
2025-12-02 16:24:13 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1557，累计 tokens=200237，本次费用=$0.007785，累计费用=$1.001185
