No.,Title,Year,Decision,Notes
11,Artificial Intelligence Vs. Instructor Supported Ai: Teaching Second Language Writing Via Write&improve,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The study focuses on second language writing and English writing success/self-efficacy, implying participants are L2 English learners in an ESL/EFL context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The intervention uses the Write&Improve system. While it is an AI-based feedback tool, the abstract does not indicate that it is based on large language models or transformer-based generative models (e.g., ChatGPT, GPT-4). Under the review’s criteria, tools like Write&Improve that are not clearly LLM-based should be excluded.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The primary focus is on second language writing success and related variables (self-efficacy, emotions, responsibilities, teacher-student interaction) within a writing instruction context, not on automated scoring per se.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The study reports quantitative pretest-posttest outcomes, including statistically significant increases in English writing success and other measurable constructs, satisfying the requirement for quantifiable writing outcome metrics.""
    }
}"
12,Developing L2 Postgraduate Students' Strategic and Responsible Use of Genai through a Purposefully Designed Workshop in Academic Writing,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The participants are explicitly described as L2 postgraduate students facing challenges in academic writing, indicating second language English learners in an academic writing context.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The workshop uses “diverse GenAI tools” and focuses on “strategic and responsible GenAI use,” but the abstract does not specify whether these are large language models (e.g., ChatGPT, GPT-4) or other types of generative AI. However, even if LLMs are involved, the design is primarily a pedagogical workshop with pre/post questionnaires, not clearly an experimental or quasi-experimental comparison of LLM-integrated writing instruction versus control conditions.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The context is academic writing: the workshop targets stages of the writing process (brainstorming, literature searching, revising, ethical considerations) and is clearly centered on writing competence and writing-related processes.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""Outcomes reported are changes in “technology proficiency, critical evaluation skills, ethical competence, and AI agency” based on pre- and post-workshop questionnaires. There is no mention of quantifiable writing performance metrics (e.g., writing quality scores, complexity, accuracy, fluency). Thus, no direct writing outcome measures are reported.""
    }
}"
13,Linguistic Analyses of Written Corrective Feedback for Chinese as a Second Language: Chatgpt Versus Human Teachers,2025,exclude,"{
    ""c1"": {
        ""status"": ""fail"",
        ""evidence"": ""Participants are learners of Chinese as a second language (CSL), specifically a Vietnamese CSL writing sample corpus. The focus is not on L2 English learners in ESL/EFL/ELL contexts, and the target language is Chinese, not English.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""Although ChatGPT (an LLM) is involved, the study compares written corrective feedback produced by ChatGPT and human teachers. There is no indication of an experimental or quasi-experimental pedagogical intervention integrating LLMs into instruction; it is an analysis of feedback characteristics.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on linguistic analysis of written corrective feedback quality (language accuracy and content expressivity), not on writing competence development or a structured writing intervention. It is essentially a functionality/quality comparison of feedback providers.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study reports linguistic parameters of feedback (e.g., word order changes, vocabulary difficulty) but does not report quantifiable writing outcome metrics for learners (e.g., changes in writing scores or proficiency after intervention). No experimental learning outcomes are described.""
    }
}"
14,A Translanguaging Perspective on Students' Use of Generative Artificial Intelligence in L2 Writing,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are described as 'Chinese multilingual undergraduates' engaged in 'L2 writing', which in this context strongly implies English as the target language in an EFL/ESL-type setting.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study focuses on 'Generative artificial intelligence (GAI)' and students' use of it in L2 writing. While this likely includes LLM-based tools (e.g., ChatGPT), the abstract does not explicitly specify that the tools are large language models or name any LLM platform. It also does not describe a structured instructional intervention; rather, it examines naturalistic use.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on how students use GAI in naturalistic L2 writing contexts from a translanguaging perspective, exploring usage patterns and underlying reasons. It is not an instructional or pedagogical intervention study aimed at improving writing competence, but a descriptive/qualitative exploration of practices and stances.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study uses screen recordings, reflective journals, and interviews, analyzed thematically. No mention is made of quantitative or experimental writing outcome measures; findings are qualitative (patterns of use, stances, and theorization of GAI-assisted writing). Thus, it does not report quantifiable writing outcome metrics.""
    }
}"
15,Saudi Efl Learners' Perceptions of Using Artificial Intelligence and Its Impact on Their Writing Skills,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are female Saudi learners of English as a Foreign Language at the University of Jeddah, clearly an EFL context with English as the target language.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract refers to “Artificial Intelligence tools” and explicitly mentions ChatGPT, which is an LLM. However, it does not clearly describe an experimental or quasi-experimental instructional intervention; it focuses on perceptions and experiences rather than a structured LLM-mediated teaching design.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The focus is on the impact of AI tools on students’ English writing skills and writing competency, i.e., writing-related variables in an EFL context.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study uses questionnaires and semi-structured interviews to explore perceptions, attitudes, and perceived impact. There is no indication of quantifiable writing outcome measures (e.g., pre/post writing scores, rubric-based performance) assessing effectiveness of an LLM-mediated intervention.""
    }
}"
16,Enhancing Efl Writing through Ai-driven Video-to-text Recognition in Authentic Learning Contexts,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are explicitly described as English as a Foreign Language (EFL) learners: 22 first-year university students in an EFL context, with focus on English writing skills.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The intervention is an AI-driven video-to-text recognition (VTR) system that combines AI and cloud-based technologies. There is no indication that it is based on a large language model (e.g., ChatGPT/GPT-style generative transformer). It appears to be a recognition/transcription tool rather than an LLM-based generative writing assistant.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The primary focus is on enhancing EFL writing skills and supporting structured writing tasks in authentic learning environments, clearly centering on writing competence.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The study is a two-week experimental study evaluating the impact of the VTR system on writing proficiency, reporting improvement in writing skills, which implies quantifiable writing outcome metrics.""
    }
}"
17,Harnessing Generative Ai for English Curriculum Innovation in Higher Education: a Case Study at Al-zaytoonah University of Jordan,2025,unsure,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract specifies that the context is English as a Foreign Language (EFL) instruction at Al-Zaytoonah University of Jordan, indicating L2 English learners in an EFL setting.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study integrates Generative AI, particularly LLMs (ChatGPT), into English language curriculum design and introduces ChatGPT as a supplementary tool in classrooms. However, the abstract does not clearly state that there is an experimental or quasi-experimental design (e.g., control vs. treatment, pre/post intervention) focused specifically on writing instruction or processes; it may be broader curriculum innovation.""
    },
    ""c3"": {
        ""status"": ""unclear"",
        ""evidence"": ""Writing fluency is mentioned as one of several outcomes (along with linguistic autonomy and critical thinking), but the primary focus appears to be overall curriculum innovation and EFL instruction, not explicitly a writing-focused intervention. It is unclear whether writing competence is the central focus or just one of multiple skills examined.""
    },
    ""c4"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract notes that a mixed-method approach with qualitative and quantitative data was used and that GenAI tools improved writing fluency, but it does not specify what quantifiable writing outcome metrics were used (e.g., scores, rubric-based assessments, pre/post writing tests). Without explicit mention of measured writing outcomes, it is unclear if this criterion is met.""
    }
}"
18,Exploring the Use of Generative Ai on Students’ Academic Writing: an Exploratory Study,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are explicitly described as English as a foreign language (EFL) learners, and the context is academic writing in English.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract refers to ‘generative AI (GenAI)’ but does not specify whether it is an LLM-based tool (e.g., ChatGPT/GPT-4) or another type of generative system. However, even if it were an LLM, the study is exploratory and focuses on question categories and adoption patterns rather than a structured instructional intervention with experimental or quasi-experimental design.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The context is clearly academic writing, examining how EFL students use GenAI during a designed writing task. The primary focus is on writing-related behavior and perceptions.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study investigates questioning behaviors, adoption of GenAI responses, and perceptions of usefulness and ease of use. There is no mention of quantifiable writing outcome measures (e.g., writing scores, quality ratings, accuracy) to assess effectiveness of the GenAI-mediated writing process.""
    }
}"
19,Understanding How Ai Chatbots Influence Efl Learners’ Oral English Learning Motivation and Outcomes: Evidence from Chinese Learners,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are 351 EFL students in China learning spoken English with an AI chatbot, clearly fitting an EFL/ESL/ELL English-learning context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""Although the study involves AI chatbots, the abstract does not specify that they are large language model–based tools (e.g., ChatGPT, GPT-4). It generically refers to ‘AI chatbots’ and focuses on their ‘human likeness’ and social presence, without indicating transformer-based generative LLMs or a specific LLM platform.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is on spoken/oral English learning, motivation, self-efficacy, and social presence. There is no indication that writing competence or writing-related variables are targeted; the context is oral English practice, not writing.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""Outcomes concern learning motivation and spoken learning outcomes measured via questionnaire and SEM. No quantifiable writing outcomes or writing performance measures are reported.""
    }
}"
20,Unveiling the Writing Self-efficacy and Its Relationship with Writing Engagement Based on Generative Ai Feedback,2025,unsure,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract does not specify the language background of the participants or whether they are L2 English learners in ESL/EFL/ELL contexts. It only refers to “students,” so their L1/L2 status and target language are unknown.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study uses “generative AI feedback,” which could involve LLMs, but no specific tools (e.g., ChatGPT, GPT-4) or model types are named. It is unclear whether the generative AI is an LLM-based system or another form of AI feedback.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The focus is on writing self-efficacy and writing engagement “based on generative AI feedback,” indicating a writing-related intervention context rather than automated scoring or non-pedagogical evaluation.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The outcomes reported concern writing self-efficacy (ideation, construction, self-regulation) and writing engagement. There is no indication of quantifiable writing performance or competence measures (e.g., text quality, accuracy, complexity), only affective/psychological variables.""
    }
}"
21,Investigating Efl Students' Attitudes towards Ai-powered Tools in English Language Learning,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are 479 Vietnamese university students learning English as a Foreign Language (EFL), clearly an L2 English learner population.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study investigates attitudes toward various AI-powered tools (e.g., ChatGPT, Grammarly, Duolingo Max, Gemini) but does not describe an experimental or quasi-experimental intervention integrating LLMs into writing instruction or processes. It is an attitudinal/perception study, not a structured LLM-mediated writing intervention.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""Although writing skills are mentioned among several skills (grammar, vocabulary, pronunciation, motivation, autonomy), the primary focus is general English language learning and attitudes toward AI tools, not a targeted writing competence intervention or writing-focused context.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The abstract reports perceived improvements and attitudes but does not indicate any quantifiable writing outcome measures or experimental comparison. Data are surveys and interviews about perceptions, without measured writing performance outcomes.""
    }
}"
22,Developing an Ai-driven Contextualized Short Video Learning System for Efl Speaking and Writing,2025,include,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are described as EFL learners (45 seventh graders), indicating second language English learners in an EFL context. The focus is on English speaking and writing proficiency.""
    },
    ""c2"": {
        ""status"": ""pass"",
        ""evidence"": ""The intervention is ClipTalk, an AI-driven system using GPT-enabled chatbots and intelligent contextual chatbots to provide feedback. The study is an eight-week experimental study integrating LLM-based tools into language learning tasks.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The system is explicitly designed to enhance EFL learners' speaking and writing proficiency, with real-world video production tasks and AI-driven feedback. Writing competence is a primary outcome, not just system evaluation or scoring.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract reports that the experimental study assessed the system's impact on writing and speaking proficiency and found significant improvements in EFL writing and speaking skills, indicating quantifiable outcome measures of writing performance.""
    }
}"
23,What Motivates Second Language Majors to Use Generative Ai for Informal Learning? Insights from the Theory of Planned Behavior,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""Participants are described only as 'L2 majors at various Chinese universities.' The target L2 is not specified, and it is not clear that they are English L2 learners or that the focus is on English rather than other languages.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study investigates factors influencing intention to use generative AI via a questionnaire and structural equation modeling. There is no experimental or quasi-experimental design integrating a specific LLM into instruction or writing processes; it is a correlational study of behavioral intention.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is on informal L2 learning intentions and psychological constructs (attitude, subjective norm, perceived behavioral control, GenAI literacy), not specifically on writing competence or writing-related variables. Writing is not mentioned in the abstract.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""No writing outcome measures are reported. The outcomes are behavioral intention and related TPB constructs, not quantifiable writing performance or writing-related metrics following an LLM-mediated intervention.""
    }
}"
24,Enhancing Chinese Character Writing Learning: the Role of Mllm-based Intelligent Tutoring Systems,2025,exclude,"{
    ""c1"": {
        ""status"": ""fail"",
        ""evidence"": ""Participants are learners of Chinese as a foreign language, focusing on Chinese character learning. The target language is Chinese, not English, so the population does not match the review’s focus on L2 English learners.""
    },
    ""c2"": {
        ""status"": ""pass"",
        ""evidence"": ""The study uses an Intelligent Tutoring System grounded in a Multimodal Large Language Model with a feedback mechanism, and conducts a teaching experiment to validate its effectiveness, which fits an LLM-based instructional intervention.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The primary focus is on writing Chinese characters and the impact of corrective feedback on character writing performance, which is a writing-related competence in the target language.""
    },
    ""c4"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract reports that students using the ITS 'perform better in writing Chinese characters than in the traditional teaching method,' indicating quantifiable writing outcome metrics comparing groups.""
    }
}"
25,Future Changes in Teachers' Professional Roles under the Impact of Artificial Intelligence: a Study in English as a Foreign Language Education,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""The abstract explicitly states that the context is students learning English as a foreign language (EFL), which fits the target population of L2 English learners in EFL contexts.""
    },
    ""c2"": {
        ""status"": ""pass"",
        ""evidence"": ""The study involves GenAI (generative artificial intelligence) in an AIED system and compares human-centered teacher-student-GenAI collaboration with student-GenAI interactions, indicating an intervention using GenAI, which is likely LLM-based.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on affective and communicative variables—intrinsic motivation, classroom anxiety, and willingness to communicate in EFL classes—and on teachers’ changing roles under AIED. Writing competence or writing-related variables are not mentioned as a focus.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The measured outcomes are intrinsic motivation, classroom anxiety, and willingness to communicate. No quantifiable writing outcome metrics or writing performance measures are reported in the abstract.""
    }
}"
26,Optimizing English Learning with Ai: Machine Learning Techniques and Tools,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract mentions the ELLIPSE corpus of essays by grade 8–12 learners, but does not clearly state that these are L2 English learners in ESL/EFL/ELL contexts. They could be native or mixed-proficiency learners; the L2 status is not explicit.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study uses a TF-IDF-based Gated Recurrent Unit (GRU) model for text classification. This is a recurrent neural network, not a transformer-based large language model (e.g., ChatGPT, GPT-4). There is no indication of integrating an LLM into instruction or writing processes.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on developing and evaluating an automated text classification framework to assess writing (coherence, syntax, vocabulary, etc.) using the ELLIPSE corpus. It is essentially an automated scoring/assessment tool, not a pedagogical writing intervention or instructional use of AI in learners’ writing processes.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The outcomes reported are model performance metrics (accuracy, precision, recall, F1-score) for text classification. There is no experimental or quasi-experimental intervention with learners, nor quantifiable pre/post or comparative writing outcomes for students’ development.""
    }
}"
