Title,Year,Decision,Notes
Assessing the Impact of Chatgpt on Efl Students’ Writing Productivity and Proficiency,2025,include,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 52 Saudi female university students in an English as a Foreign Language (EFL) course, clearly indicating L2 English learners in an EFL context with focus on English writing skills.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study investigates incorporating ChatGPT, explicitly identified as an AI-based tool, into an EFL course. It uses a pretest\u2013posttest design to examine its effects, indicating an experimental/quasi-experimental LLM-mediated intervention in writing instruction.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on writing competence: writing productivity and proficiency, including topic sentence formation, organization, supporting details, mechanics, and word count. ChatGPT is used pedagogically to assist with idea generation, reducing redundancy, and fostering writing clarity, not merely as an automated scoring tool.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study employs a pretest\u2013posttest design and reports measurable changes in writing skills (e.g., topic sentence formation, supporting details, mechanics, organization, word count), providing quantifiable writing outcome metrics to assess the effectiveness of the ChatGPT-mediated intervention.""}}"
Students’ Perceptions of Generative Artificial Intelligence (genai) Use in Academic Writing in English as a Foreign Language †,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 56 undergraduate university students in Ecuador studying English as a foreign language (EFL), clearly an L2 English learner population in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study is a perception survey about GenAI/ChatGPT use and academic integrity. There is no indication of an experimental or quasi-experimental design integrating an LLM into writing instruction or writing processes as an intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""Although the context is academic writing in EFL, the focus is on perceptions of academic integrity, cheating, and AI-giarism, not on a pedagogical writing intervention or instructional use of LLMs to develop writing competence.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports students\u2019 perceptions and worries, not quantifiable writing outcome metrics (e.g., changes in writing quality, accuracy, complexity) resulting from an LLM-mediated writing intervention.""}}"
Use of Ai Tools in Efl Writing Instruction: a Case Study of Chinese Vocational College Instructors,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The context is English as a foreign language (EFL) at Chinese vocational and technical colleges, so the implied learners are L2 English users in an EFL setting.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The abstract refers broadly to \u201cAI writing tools\u201d but does not specify whether these are LLM-based tools (e.g., ChatGPT) or other forms of AI (e.g., automated feedback systems not using transformer-based generative models). However, the study is about instructors\u2019 experiences and perceptions, not an experimental or quasi-experimental intervention testing an LLM in instruction.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on teachers\u2019 use, experiences, and perceptions of AI tools in EFL writing instruction, using a qualitative case study with interviews. There is no structured pedagogical intervention being experimentally evaluated for its impact on writing competence.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study is qualitative and interview-based, reporting perceptions and experiences. It does not report quantifiable writing outcome metrics or experimental measures of writing performance related to AI/LLM-mediated interventions.""}}"
Navigating the Digital Writing Landscape: Efl Students’ Perspectives on Chatgpt Utilization,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are English as a foreign language (EFL) students at an Indonesian university, clearly indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study examines students\u2019 perceptions of various AI tools (grammar checkers, text-to-speech, language learning apps, and ChatGPT) via survey and interviews. There is no indication of an experimental or quasi-experimental design integrating an LLM into writing instruction or processes; it is a perception/acceptance study.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The focus is on general AI use for language skills development, usefulness, ease of use, and social influence, not specifically on writing competence or writing-related variables as the primary outcome.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study relies on self-reported perceptions and experiences, with no reported quantitative writing outcome measures or structured LLM-mediated writing intervention outcomes.""}}"
Integrating Generative Ai into Digital Multimodal Composition: a Study of Multicultural Second-language Classrooms,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are \u201celeven culturally diverse students from two high schools in Hong Kong,\u201d which implies L2 English learners in an EFL/ESL context, and the abstract discusses vocabulary, grammar, and structure, consistent with English L2 writing.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The study uses \u201cgenerative AI tools\u201d but does not specify whether these are LLM-based tools such as ChatGPT/GPT-4 or other generative systems (e.g., image generators). However, references to content generation, feedback, revision, and multilingual support suggest text-based generative AI, likely LLMs, but this is not explicit in the abstract.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on \u201cdigital multimodal composition (DMC)\u201d and multimodal literacy, including visual representation and DMC skills. While vocabulary, grammar, and structure are mentioned, the central outcome domain is broader multimodal composition rather than writing competence or writing-related variables as the main focus.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports that AI integration resulted in \u201cenhancements to the vocabulary, grammar, and structural elements of students\u2019 work,\u201d but there is no indication of experimental or quasi-experimental design with quantifiable writing outcome metrics (e.g., pre/post tests, rubric scores, statistical comparisons). Data sources are usage logs, observations, surveys, and interviews, suggesting primarily qualitative analysis.""}}"
Artificial Intelligence as a Provider of Feedback on Efl Student Compositions,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 29 English major students at a Saudi university, described as foreign language writers (EFL context), so they are L2 English learners.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT is used to provide feedback on student essays, the study is not described as experimental or quasi-experimental. It qualitatively analyzes ChatGPT\u2019s feedback characteristics (consistency, credibility, feedback types) rather than implementing and testing a structured LLM-mediated instructional intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on analyzing the nature and quality of AI feedback (types, consistency, credibility), not on systematically improving or measuring students\u2019 writing competence through an intervention. It is essentially an evaluation of ChatGPT as a feedback provider, not a pedagogical writing intervention with outcome assessment.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports only qualitative analysis of feedback and does not mention any quantifiable writing outcome metrics (e.g., pre/post writing scores, rubric-based gains). No experimental measures of changes in learners\u2019 writing performance are reported.""}}"
Translanguaging with Generative Ai in Efl Writing: Students’ Practices and Perceptions,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are EFL students in China (six college students with lower to intermediate proficiency), clearly L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although the study involves generative AI (ERNIE Bot), it is a qualitative exploration of how students utilize the tool, not an experimental or quasi-experimental intervention design integrating LLMs into instruction. There is no structured pedagogical treatment being tested.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on EFL writing processes and how generative AI is used in writing, framed through translanguaging practices, which aligns with writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study is explicitly qualitative, using semi-structured interviews and artefacts. It examines practices and perceptions, with no mention of quantifiable writing outcome metrics or measured effectiveness of the AI-mediated intervention.""}}"
Secondary School English Teachers’ Application of Artificial Intelligence-guided Chatbot in the Provision of Feedback on Student Writing: an Activity Theory Perspective,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 13 secondary school English teachers in China providing feedback on student L2 English writing. The context is clearly L2 English writing instruction in an EFL setting, so the population focus aligns with L2 English learners, even though learners themselves are not the direct participants.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The study uses Kimi, described as an AI-guided chatbot, to support teacher feedback. However, the abstract does not specify that Kimi is a large language model (e.g., transformer-based generative model like ChatGPT/GPT-4). Without explicit indication that Kimi is an LLM, it is unclear whether the intervention meets the LLM criterion.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on how teachers incorporate an AI-guided chatbot into their feedback practices, analyzed via Activity Theory. Outcomes reported concern characteristics of Kimi vs. teacher feedback and components of the activity system, not on changes in learners\u2019 writing competence or writing-related performance. Thus, the main focus is not on writing competence outcomes but on feedback practices and system components.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports differences in feedback features (amount, length, foci, types) and describes complementary patterns between Kimi and teacher feedback. It does not mention any quantitative measures of student writing outcomes or experimental evaluation of the intervention\u2019s effect on writing performance. Therefore, no quantifiable writing outcome metrics are reported.""}}"
Using Ai-text Generated Mentor Texts for Genre-based Pedagogy in Second Language Writing,2025,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract refers generally to \u201csecond language (L2) writing instruction\u201d and \u201cL2 writing classrooms\u201d but does not specify that participants are L2 English learners or that the target language is English. No concrete participant group is described.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study discusses using \u201cGenAI tools\u201d and \u201cAI text generators\u201d to create mentor texts for genre-based pedagogy, but it is presented as a conceptual or illustrative exploration rather than an experimental or quasi-experimental intervention study. No specific LLM (e.g., ChatGPT, GPT-4) is identified, and no intervention design is described.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""While the context is L2 writing and genre pedagogy, the article focuses on demonstrating how AI-generated mentor texts can illustrate genre stages and language features within the Teaching and Learning Cycle. It does not describe an implemented pedagogical intervention with measured effects; rather, it is a descriptive/theoretical piece.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not report any quantitative writing outcome metrics or experimental results. It highlights potential uses of AI-generated mentor texts and identifies language features, but there is no mention of measured changes in learners\u2019 writing performance or related variables.""}}"
Unlocking Efl Learners’ Insights into Chatgpt Use for L2 Writing: the Impacts of Usage Frequency and Gender Variations,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 874 Turkish undergraduate English majors at a state university in T\u00fcrkiye, i.e., EFL learners using English as an L2.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study investigates learners\u2019 perceptions of ChatGPT use and how gender and usage frequency affect these perceptions. There is no indication of an experimental or quasi-experimental pedagogical intervention integrating ChatGPT into writing instruction; ChatGPT use is self-initiated \u2018beyond the classroom\u2019 and only surveyed, not manipulated as an intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""Although the context is L2 writing, the primary focus is on perceptions of ChatGPT use (Technology Acceptance Model) and gender/usage frequency differences, not on writing competence or writing-related performance variables within an instructional intervention.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study reports quantitative data on perceptions (via the ChatGPT Perception Scale) and usage frequency, but does not report any quantifiable writing outcome metrics (e.g., writing scores, quality measures, accuracy, complexity) to assess the effectiveness of ChatGPT-mediated writing intervention.""}}"
